1.000000000000000021e-02 2.892648927754011279e+00
1.206792640639328847e-02 2.873730538863298989e+00
1.456348477501243598e-02 2.851360642825249148e+00
1.757510624854792189e-02 2.818818464620957087e+00
2.120950887920190417e-02 2.783420590412164053e+00
2.559547922699535738e-02 2.749872583814215510e+00
3.088843596477481787e-02 2.704374863358513625e+00
3.727593720314940212e-02 2.650235550393109207e+00
4.498432668969443854e-02 2.590740938186635312e+00
5.428675439323859403e-02 2.523565187973231705e+00
6.551285568595509312e-02 2.449476862452403925e+00
7.906043210907696961e-02 2.369438031351143614e+00
9.540954763499938374e-02 2.286571653359020573e+00
1.151395399326446967e-01 2.196291131954680953e+00
1.389495494373137463e-01 2.107002488990928679e+00
1.676832936811007424e-01 2.019860081603072288e+00
2.023589647725156648e-01 1.925535688888857289e+00
2.442053094548650993e-01 1.845406376989650710e+00
2.947051702551809482e-01 1.769850898567998820e+00
3.556480306223128718e-01 1.692956339430687018e+00
4.291934260128776324e-01 1.626822466922011712e+00
5.179474679231209633e-01 1.550622252163866399e+00
6.250551925273969411e-01 1.477442851919708700e+00
7.543120063354614713e-01 1.396798432728949990e+00
9.102981779915217952e-01 1.313643136185324911e+00
1.098541141987558367e+00 1.229425216497547213e+00
1.325711365590108048e+00 1.139957454099805867e+00
1.599858719606057411e+00 1.053448585595654352e+00
1.930697728883249642e+00 9.700294861492866350e-01
2.329951810515372035e+00 8.909970946148192406e-01
2.811768697974228015e+00 8.154738966316300575e-01
3.393221771895326366e+00 7.455663238308205543e-01
4.094915062380422910e+00 6.798196208057141199e-01
4.941713361323833098e+00 6.185621830828688106e-01
5.963623316594643065e+00 5.536681656964398401e-01
7.196856730011513825e+00 4.878882862240095930e-01
8.685113737513519894e+00 4.201457620528876724e-01
1.048113134154685255e+01 3.511174042367896653e-01
1.264855216855295872e+01 2.823626320155755987e-01
1.526417967175231816e+01 2.170817189263668234e-01
1.842069969326714585e+01 1.588004429979599230e-01
2.222996482526193418e+01 1.081775458905272214e-01
2.682695795279724749e+01 6.846179526590329134e-02
3.237457542817643485e+01 3.925039082848227889e-02
3.906939937054612955e+01 2.006376587196110131e-02
4.714866363457390008e+01 8.969531604928757465e-03
5.689866029018293148e+01 3.379412276613658669e-03
6.866488450042997727e+01 1.040821441198535539e-03
8.286427728546841820e+01 2.521415815270587634e-04
1.000000000000000000e+02 4.543403477340142216e-05
